epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.814,0.82674,2.5211,1.16337,0.31056,0.56121,0.40228,0.30779,0.85663,1.89353,1.22115,0.000184495,0.000184495,0.000184495
2,1474.04,0.83155,1.68799,1.15037,0.39267,0.47501,0.39874,0.29487,0.84635,1.89193,1.21381,0.000362505,0.000362505,0.000362505
3,7009.82,0.83847,1.54836,1.16235,0.61982,0.45721,0.50934,0.40139,0.83292,1.58834,1.18693,0.000533177,0.000533177,0.000533177
4,7542.61,0.797,1.43127,1.133,0.62318,0.58267,0.62604,0.50305,0.78612,1.2922,1.15107,0.000522974,0.000522974,0.000522974
5,9023.48,0.7787,1.26094,1.13404,0.71195,0.63451,0.68985,0.56371,0.81338,1.12725,1.17633,0.000511965,0.000511965,0.000511965
6,9551.43,0.746,1.19064,1.10659,0.65156,0.67112,0.72533,0.58284,0.76335,0.95842,1.13805,0.000500956,0.000500956,0.000500956
7,10625.5,0.73101,1.11783,1.10097,0.77702,0.72112,0.7925,0.65018,0.71582,0.79231,1.07856,0.000489947,0.000489947,0.000489947
8,11287.4,0.71829,1.06132,1.08997,0.79411,0.81031,0.84899,0.70053,0.71206,0.68095,1.08071,0.000478938,0.000478938,0.000478938
9,12945.9,0.69521,0.99182,1.07828,0.83415,0.79023,0.85911,0.71278,0.69856,0.67431,1.07153,0.00046793,0.00046793,0.00046793
10,13330.4,0.67951,0.94266,1.06226,0.8244,0.79639,0.85096,0.71057,0.67008,0.65302,1.04671,0.000456921,0.000456921,0.000456921
11,14478.9,0.66367,0.89602,1.0538,0.86999,0.78017,0.86721,0.71781,0.6753,0.69094,1.05065,0.000445912,0.000445912,0.000445912
12,14967.8,0.66341,0.86195,1.05421,0.86618,0.81334,0.88783,0.73199,0.68108,0.58933,1.05743,0.000434903,0.000434903,0.000434903
