epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1635.28,0.8695,3.31507,1.10266,0.20378,0.37512,0.20783,0.1626,0.86208,3.03644,0.99749,0.000175135,0.000175135,0.000175135
2,3233.96,0.80865,2.48981,1.03717,0.23344,0.46227,0.25921,0.20913,0.80533,2.75612,0.9594,0.000341794,0.000341794,0.000341794
3,3964.75,0.79327,2.2061,1.02977,0.43695,0.37646,0.36463,0.29992,0.81706,2.3425,0.95785,0.000499774,0.000499774,0.000499774
4,4471.2,0.76434,2.00341,1.01703,0.34182,0.60845,0.41636,0.3395,0.78287,2.20579,0.94889,0.000486945,0.000486945,0.000486945
5,4981.53,0.73768,1.82806,1.0086,0.4625,0.5703,0.51845,0.4298,0.80119,1.78778,0.96749,0.000473926,0.000473926,0.000473926
6,5539.52,0.72563,1.66171,0.98915,0.547,0.60639,0.56394,0.47289,0.75255,1.63358,0.95265,0.000460907,0.000460907,0.000460907
7,6008.64,0.7049,1.5349,0.99,0.70932,0.60152,0.66025,0.56025,0.72792,1.35953,0.93125,0.000447889,0.000447889,0.000447889
8,6462.04,0.69934,1.4611,0.98642,0.6172,0.67233,0.66726,0.56793,0.71726,1.32252,0.91883,0.00043487,0.00043487,0.00043487
9,6958.08,0.68785,1.35162,0.98253,0.78822,0.64722,0.72015,0.60682,0.72984,1.25663,0.93566,0.000421852,0.000421852,0.000421852
10,7531.86,0.66986,1.28911,0.97622,0.84487,0.63757,0.74105,0.63049,0.7178,1.11841,0.92419,0.000408834,0.000408834,0.000408834
11,11905.7,0.66925,1.22493,0.97575,0.75362,0.67604,0.75332,0.64091,0.71534,1.05129,0.91726,0.000395815,0.000395815,0.000395815
12,13367.2,0.65269,1.21184,0.96751,0.77618,0.71491,0.77833,0.65969,0.72013,0.95105,0.92384,0.000382796,0.000382796,0.000382796
13,14849.5,0.65029,1.14002,0.96617,0.76608,0.75983,0.80075,0.67852,0.71648,0.89265,0.92192,0.000369778,0.000369778,0.000369778
14,16293.7,0.64409,1.09729,0.96597,0.79847,0.77403,0.83624,0.71012,0.69399,0.81851,0.91102,0.00035676,0.00035676,0.00035676
15,16720.9,0.6385,1.06198,0.95929,0.79657,0.77724,0.82866,0.71167,0.67614,0.81188,0.90404,0.000343741,0.000343741,0.000343741
16,17161.6,0.62689,1.01289,0.95892,0.8571,0.78491,0.8516,0.73049,0.66794,0.73889,0.90186,0.000330722,0.000330722,0.000330722
17,17606.8,0.61803,0.99713,0.95641,0.91007,0.76347,0.85622,0.73854,0.65931,0.70611,0.89243,0.000317704,0.000317704,0.000317704
18,18050.8,0.61862,0.97882,0.95713,0.88063,0.78281,0.86044,0.73962,0.66083,0.68731,0.89278,0.000304685,0.000304685,0.000304685
19,18505.2,0.62224,0.97082,0.95667,0.90595,0.78217,0.86606,0.75177,0.64656,0.66835,0.89937,0.000291667,0.000291667,0.000291667
20,18960.3,0.60957,0.90678,0.94843,0.88293,0.81254,0.8724,0.75454,0.64857,0.63776,0.89057,0.000278649,0.000278649,0.000278649
21,19409.8,0.60816,0.90701,0.95691,0.8902,0.79552,0.87267,0.75307,0.63783,0.63887,0.8881,0.00026563,0.00026563,0.00026563
22,19863.6,0.58571,0.87811,0.94526,0.93866,0.78821,0.88135,0.75561,0.65713,0.61236,0.89424,0.000252611,0.000252611,0.000252611
23,20288.5,0.59673,0.87579,0.94688,0.91221,0.79547,0.87199,0.7575,0.64308,0.62902,0.89056,0.000239593,0.000239593,0.000239593
24,20728,0.59395,0.85218,0.94369,0.94377,0.80381,0.87762,0.75896,0.62956,0.608,0.8854,0.000226575,0.000226575,0.000226575
25,21153.4,0.58832,0.84295,0.94491,0.93195,0.80341,0.88462,0.76665,0.62505,0.59588,0.8854,0.000213556,0.000213556,0.000213556
26,21586.5,0.57895,0.82198,0.93941,0.91095,0.81441,0.88625,0.76624,0.63042,0.58137,0.88865,0.000200537,0.000200537,0.000200537
27,22039.6,0.58261,0.80444,0.93827,0.91493,0.81592,0.88994,0.77392,0.62188,0.55971,0.88247,0.000187519,0.000187519,0.000187519
28,22477.3,0.57278,0.78967,0.9377,0.93574,0.80113,0.89165,0.7722,0.62793,0.55078,0.88109,0.0001745,0.0001745,0.0001745
29,22916.6,0.56889,0.77363,0.93671,0.94896,0.81231,0.89627,0.77858,0.61838,0.51518,0.88009,0.000161482,0.000161482,0.000161482
30,23359.3,0.5623,0.76762,0.93685,0.95405,0.8268,0.89814,0.7762,0.62902,0.51455,0.88373,0.000148463,0.000148463,0.000148463
31,23798.6,0.55737,0.5251,0.88474,0.91387,0.83004,0.89421,0.77375,0.61413,0.54398,0.88097,0.000135445,0.000135445,0.000135445
32,24241.9,0.54542,0.5017,0.88062,0.93287,0.82406,0.90184,0.7789,0.61064,0.5228,0.87813,0.000122426,0.000122426,0.000122426
33,24687.9,0.54108,0.48597,0.87633,0.91297,0.83869,0.89922,0.77854,0.61127,0.51127,0.87932,0.000109408,0.000109408,0.000109408
34,25131.7,0.52936,0.47568,0.87174,0.90951,0.82588,0.8987,0.7785,0.61582,0.50747,0.87722,9.63895e-05,9.63895e-05,9.63895e-05
35,26063.2,0.52926,0.45776,0.87326,0.94197,0.82851,0.90298,0.78164,0.60822,0.49124,0.87754,8.3371e-05,8.3371e-05,8.3371e-05
36,26625.7,0.52126,0.44787,0.87443,0.93612,0.84241,0.90846,0.79246,0.59654,0.47683,0.8762,7.03525e-05,7.03525e-05,7.03525e-05
37,27108,0.5172,0.43827,0.86987,0.94695,0.84259,0.9088,0.79317,0.5923,0.4678,0.87328,5.7334e-05,5.7334e-05,5.7334e-05
38,27574.7,0.50952,0.42431,0.8676,0.93575,0.84281,0.90745,0.79146,0.59026,0.46767,0.87237,4.43155e-05,4.43155e-05,4.43155e-05
39,28014.1,0.50625,0.42024,0.87262,0.94147,0.85181,0.91119,0.7943,0.59311,0.45412,0.87283,3.1297e-05,3.1297e-05,3.1297e-05
40,28463.6,0.49754,0.41565,0.86694,0.94232,0.84914,0.91376,0.79785,0.58873,0.4504,0.87107,1.82785e-05,1.82785e-05,1.82785e-05
